location,url_tail,walk_score,transit_score,bike_score
"11238, Clinton Hill, NY",11238-clinton-hill-ny,96,100,90
"10029, East Harlem, NY",10029-east-harlem-ny,99,100,88
"10016, Murray Hill, NY",10016-murray-hill-ny,99,100,85
"10016, Murray Hill, NY",10016-murray-hill-ny,99,100,85
"11216, Bedford-Stuyvesant, NY",11216-bedford-stuyvesant-ny,99,100,86
"10019, Hell's Kitchen, NY",10019-hell-s-kitchen-ny,100,100,92
"10025, Upper West Side, NY",10025-upper-west-side-ny,100,100,88
"10009, East Village, NY",10009-east-village-ny,98,100,98
"10002, Chinatown, NY",10002-chinatown-ny,100,100,94
"10036, Hell's Kitchen, NY",10036-hell-s-kitchen-ny,99,100,92
"10036, Hell's Kitchen, NY",10036-hell-s-kitchen-ny,99,100,92
"11215, South Slope, NY",11215-south-slope-ny,97,100,86
"10014, West Village, NY",10014-west-village-ny,98,100,94
"10014, West Village, NY",10014-west-village-ny,98,100,94
"11211, Williamsburg, NY",11211-williamsburg-ny,99,100,91
"11205, Fort Greene, NY",11205-fort-greene-ny,95,91,95
"10011, Chelsea, NY",10011-chelsea-ny,85,100,84
"10011, Chelsea, NY",10011-chelsea-ny,85,100,84
"11216, Crown Heights, NY",11216-crown-heights-ny,99,100,86
"11217, Park Slope, NY",11217-park-slope-ny,99,100,93
"11218, Windsor Terrace, NY",11218-windsor-terrace-ny,85,95,75
"10003, East Village, NY",10003-east-village-ny,100,100,93
"10031, Harlem, NY",10031-harlem-ny,99,100,80
"10027, Harlem, NY",10027-harlem-ny,91,100,60
"11222, Greenpoint, NY",11222-greenpoint-ny,99,76,96
"11238, Bedford-Stuyvesant, NY",11238-bedford-stuyvesant-ny,96,100,90
"11237, Bushwick, NY",11237-bushwick-ny,97,97,91
"10002, Lower East Side, NY",10002-lower-east-side-ny,97,100,94
"10024, Upper West Side, NY",10024-upper-west-side-ny,100,100,86
"10024, Upper West Side, NY",10024-upper-west-side-ny,100,100,86
"11225, Prospect-Lefferts Gardens, NY",11225-prospect-lefferts-gardens-ny,92,100,84
"11101, Long Island City, NY",11101-long-island-city-ny,93,100,82
"11221, Bedford-Stuyvesant, NY",11221-bedford-stuyvesant-ny,96,92,71
"11206, Williamsburg, NY",11206-williamsburg-ny,98,100,86
"10010, Kips Bay, NY",10010-kips-bay-ny,98,100,89
"10016, Kips Bay, NY",10016-kips-bay-ny,100,100,80
"10016, Kips Bay, NY",10016-kips-bay-ny,100,100,80
"10018, Hell's Kitchen, NY",10018-hell-s-kitchen-ny,99,100,90
"10002, SoHo, NY",10002-soho-ny,99,100,96
"11249, Williamsburg, NY",11249-williamsburg-ny,98,98,95
"11249, Williamsburg, NY",11249-williamsburg-ny,98,98,95
"10001, Chelsea, NY",10001-chelsea-ny,100,100,96
"10162, Upper East Side, NY",10162-upper-east-side-ny,97,100,84
"11231, Red Hook, NY",11231-red-hook-ny,93,67,98
"11238, Prospect Heights, NY",11238-prospect-heights-ny,96,100,90
"11205, Clinton Hill, NY",11205-clinton-hill-ny,95,91,95
"11215, Park Slope, NY",11215-park-slope-ny,97,100,86
"10035, East Harlem, NY",10035-east-harlem-ny,11,83,56
"10032, Washington Heights, NY",10032-washington-heights-ny,90,100,51
"11377, Woodside, NY",11377-woodside-ny,95,100,73
"10014, Chelsea, NY",10014-chelsea-ny,98,100,94
"11226, Flatbush, NY",11226-flatbush-ny,96,100,73
"11201, Brooklyn Heights, NY",11201-brooklyn-heights-ny,97,100,89
"11206, Bushwick, NY",11206-bushwick-ny,98,100,86
"11217, Prospect Heights, NY",11217-prospect-heights-ny,99,100,93
"11233, Bedford-Stuyvesant, NY",11233-bedford-stuyvesant-ny,91,100,65
"11231, Carroll Gardens, NY",11231-carroll-gardens-ny,96,93,92
"11217, Gowanus, NY",11217-gowanus-ny,99,100,93
"10023, Upper West Side, NY",10023-upper-west-side-ny,100,100,87
"10023, Upper West Side, NY",10023-upper-west-side-ny,100,100,87
"10128, Upper East Side, NY",10128-upper-east-side-ny,100,100,71
"11234, Flatlands, NY",11234-flatlands-ny,90,79,57
"11201, Cobble Hill, NY",11201-cobble-hill-ny,98,100,97
"11367, Flushing, NY",11367-flushing-ny,90,68,71
"10028, Upper East Side, NY",10028-upper-east-side-ny,100,100,85
"10028, Upper East Side, NY",10028-upper-east-side-ny,100,100,85
"11217, Boerum Hill, NY",11217-boerum-hill-ny,99,100,93
"11104, Sunnyside, NY",11104-sunnyside-ny,98,100,85
"11201, DUMBO, NY",11201-dumbo-ny,98,100,90
"10065, Upper East Side, NY",10065-upper-east-side-ny,100,100,83
"11215, Gowanus, NY",11215-gowanus-ny,97,100,86
"10301, St. George, NY",10301-st--george-ny,87,78,51
"10452, Highbridge, NY",10452-highbridge-ny,98,100,78
"10006, Financial District, NY",10006-financial-district-ny,99,100,83
"10003, NoHo, NY",10003-noho-ny,100,100,93
"10039, Harlem, NY",10039-harlem-ny,92,100,84
"11217, Fort Greene, NY",11217-fort-greene-ny,99,100,93
"11385, Ridgewood, NY",11385-ridgewood-ny,93,85,69
"11385, Ridgewood, NY",11385-ridgewood-ny,93,85,69
"10025, Morningside Heights, NY",10025-morningside-heights-ny,100,100,88
"10021, Upper East Side, NY",10021-upper-east-side-ny,100,100,84
"11434, Jamaica, NY",11434-jamaica-ny,76,74,51
"11206, Bedford-Stuyvesant, NY",11206-bedford-stuyvesant-ny,98,100,86
"11379, Middle Village, NY",11379-middle-village-ny,80,67,58
"11105, Ditmars Steinway, NY",11105-ditmars-steinway-ny,92,76,73
"10010, Flatiron District, NY",10010-flatiron-district-ny,100,100,91
"11215, Windsor Terrace, NY",11215-windsor-terrace-ny,85,95,75
"10044, Roosevelt Island, NY",10044-roosevelt-island-ny,81,100,76
"10022, Midtown, NY",10022-midtown-ny,99,100,82
"10013, SoHo, NY",10013-soho-ny,99,100,96
"10027, East Harlem, NY",10027-east-harlem-ny,91,100,60
"10013, Little Italy, NY",10013-little-italy-ny,100,100,92
"10026, Harlem, NY",10026-harlem-ny,99,100,84
"11221, Bushwick, NY",11221-bushwick-ny,96,92,71
"10301, Tompkinsville, NY",10301-tompkinsville-ny,78,70,33
", Upper West Side, NY",#NAME?,100,100,86
"10010, Gramercy, NY",10010-gramercy-ny,100,100,90
"11103, Astoria, NY",11103-astoria-ny,94,96,67
"11103, Astoria, NY",11103-astoria-ny,94,96,67
"11218, Kensington, NY",11218-kensington-ny,93,96,88
"10475, Eastchester, NY",10475-eastchester-ny,60,NA,65
"10034, Inwood, NY",10034-inwood-ny,85,96,49
"10026, Morningside Heights, NY",10026-morningside-heights-ny,99,100,84
"10002, Little Italy, NY",10002-little-italy-ny,100,100,92
"10468, Kingsbridge, NY",10468-kingsbridge-ny,95,NA,69
", Williamsburg, NY",#NAME?,99,100,88
"11102, Astoria, NY",11102-astoria-ny,91,77,87
"10038, Two Bridges, NY",10038-two-bridges-ny,99,100,83
"11205, Bedford-Stuyvesant, NY",11205-bedford-stuyvesant-ny,95,91,95
"10033, Washington Heights, NY",10033-washington-heights-ny,34,87,41
"11427, Queens Village, NY",11427-queens-village-ny,73,73,29
"11693, Rockaway Beach, NY",11693-rockaway-beach-ny,83,82,75
"10001, Midtown, NY",10001-midtown-ny,97,100,71
"11238, Crown Heights, NY",11238-crown-heights-ny,96,100,90
"10012, East Village, NY",10012-east-village-ny,99,100,96
"11375, Forest Hills, NY",11375-forest-hills-ny,97,100,56
"11226, East Flatbush, NY",11226-east-flatbush-ny,96,100,73
"10012, Nolita, NY",10012-nolita-ny,99,100,92
"10012, Greenwich Village, NY",10012-greenwich-village-ny,99,100,96
"10470, Woodlawn, NY",10470-woodlawn-ny,86,82,56
"11377, Sunnyside, NY",11377-sunnyside-ny,95,100,73
"10012, SoHo, NY",10012-soho-ny,99,100,96
"10453, University Heights, NY",10453-university-heights-ny,92,NA,72
"10003, Gramercy, NY",10003-gramercy-ny,100,100,90
"11101, Astoria, NY",11101-astoria-ny,93,100,82
"10012, West Village, NY",10012-west-village-ny,99,100,96
"10469, Allerton, NY",10469-allerton-ny,93,NA,69
"11208, East New York, NY",11208-east-new-york-ny,94,97,61
"11225, Crown Heights, NY",11225-crown-heights-ny,94,100,81
"10023, Hell's Kitchen, NY",10023-hell-s-kitchen-ny,100,100,87
"11226, Prospect-Lefferts Gardens, NY",11226-prospect-lefferts-gardens-ny,92,100,84
"10026, Hell's Kitchen, NY",10026-hell-s-kitchen-ny,100,100,91
"10032, Harlem, NY",10032-harlem-ny,90,100,51
"10038, Chinatown, NY",10038-chinatown-ny,99,100,83
"10036, Theater District, NY",10036-theater-district-ny,97,100,92
"11207, Bushwick, NY",11207-bushwick-ny,90,100,83
"11222, Williamsburg, NY",11222-williamsburg-ny,99,76,96
"10451, Concourse Village, NY",10451-concourse-village-ny,96,100,61
"11238, Fort Greene, NY",11238-fort-greene-ny,96,100,90
"11235, Sheepshead Bay, NY",11235-sheepshead-bay-ny,85,77,62
"11209, Fort Hamilton, NY",11209-fort-hamilton-ny,44,64,63
"11204, Bensonhurst, NY",11204-bensonhurst-ny,92,94,55
"10038, Tribeca, NY",10038-tribeca-ny,99,100,83
"10010, Midtown, NY",10010-midtown-ny,98,100,89
"10305, Shore Acres, NY",10305-shore-acres-ny,72,69,51
"10013, Chinatown, NY",10013-chinatown-ny,100,100,94
"11232, Sunset Park, NY",11232-sunset-park-ny,92,98,72
"10451, Concourse, NY",10451-concourse-ny,96,100,61
"10011, West Village, NY",10011-west-village-ny,99,100,91
"10017, Midtown, NY",10017-midtown-ny,100,100,80
"11373, Elmhurst, NY",11373-elmhurst-ny,98,NA,78
"11224, Brighton Beach, NY",11224-brighton-beach-ny,97,85,67
"11372, Jackson Heights, NY",11372-jackson-heights-ny,95,98,84
"10002, Nolita, NY",10002-nolita-ny,99,100,92
"11207, Cypress Hills, NY",11207-cypress-hills-ny,90,100,83
"11412, St. Albans, NY",11412-st--albans-ny,80,65,54
"10030, Harlem, NY",10030-harlem-ny,97,100,70
"10305, Arrochar, NY",10305-arrochar-ny,83,67,51
"10075, Upper East Side, NY",10075-upper-east-side-ny,99,100,85
"10075, Upper East Side, NY",10075-upper-east-side-ny,99,100,85
"10004, Financial District, NY",10004-financial-district-ny,99,100,79
"11203, East Flatbush, NY",11203-east-flatbush-ny,88,77,53
"10027, Morningside Heights, NY",10027-morningside-heights-ny,91,100,60
"10019, Theater District, NY",10019-theater-district-ny,97,100,92
"10022, Upper East Side, NY",10022-upper-east-side-ny,99,100,82
"11374, Rego Park, NY",11374-rego-park-ny,88,99,61
"10466, Wakefield, NY",10466-wakefield-ny,83,78,75
"11226, Kensington, NY",11226-kensington-ny,96,100,73
"11213, Crown Heights, NY",11213-crown-heights-ny,94,100,91
", Bushwick, NY",#NAME?,95,100,87
"10003, Greenwich Village, NY",10003-greenwich-village-ny,100,100,93
"10040, Washington Heights, NY",10040-washington-heights-ny,78,88,52
"11385, Bushwick, NY",11385-bushwick-ny,93,85,69
"11215, Sunset Park, NY",11215-sunset-park-ny,97,100,86
"11105, Astoria, NY",11105-astoria-ny,92,76,73
"11231, Cobble Hill, NY",11231-cobble-hill-ny,98,100,97
"11201, Fort Greene, NY",11201-fort-greene-ny,96,100,80
"11201, Carroll Gardens, NY",11201-carroll-gardens-ny,96,93,92
"11211, Greenpoint, NY",11211-greenpoint-ny,99,100,91
"11106, Astoria, NY",11106-astoria-ny,98,100,77
"11207, East New York, NY",11207-east-new-york-ny,90,100,83
"11218, Flatbush, NY",11218-flatbush-ny,93,94,76
"10304, Clifton, NY",10304-clifton-ny,79,67,63
"11220, Bay Ridge, NY",11220-bay-ridge-ny,96,98,77
"10016, Midtown, NY",10016-midtown-ny,100,100,80
"11230, Flatbush, NY",11230-flatbush-ny,96,90,77
"11210, East Flatbush, NY",11210-east-flatbush-ny,95,99,62
"11220, Sunset Park, NY",11220-sunset-park-ny,96,98,77
"11378, Maspeth, NY",11378-maspeth-ny,85,63,52
"10303, Graniteville, NY",10303-graniteville-ny,79,63,52
"11229, Sheepshead Bay, NY",11229-sheepshead-bay-ny,94,76,69
"10463, Spuyten Duyvil, NY",10463-spuyten-duyvil-ny,75,NA,40
"10304, Stapleton, NY",10304-stapleton-ny,88,70,67
"10019, Midtown, NY",10019-midtown-ny,97,100,84
"11435, Briarwood, NY",11435-briarwood-ny,79,100,61
"11416, Ozone Park, NY",11416-ozone-park-ny,92,85,56
"11231, Columbia St, NY",11231-columbia-st-ny,93,77,92
"10453, Morris Heights, NY",10453-morris-heights-ny,92,NA,78
"11201, Boerum Hill, NY",11201-boerum-hill-ny,97,100,95
"11235, Brighton Beach, NY",11235-brighton-beach-ny,97,85,67
"11201, Vinegar Hill, NY",11201-vinegar-hill-ny,93,100,88
"10454, Mott Haven, NY",10454-mott-haven-ny,85,86,80
"10455, Longwood, NY",10455-longwood-ny,96,100,78
"10451, Harlem, NY",10451-harlem-ny,96,100,61
"10280, Battery Park City, NY",10280-battery-park-city-ny,99,100,86
"11226, Crown Heights, NY",11226-crown-heights-ny,93,100,85
"10013, Tribeca, NY",10013-tribeca-ny,97,100,90
"10002, Two Bridges, NY",10002-two-bridges-ny,97,100,90
"10009, Lower East Side, NY",10009-lower-east-side-ny,98,100,98
"10038, Civic Center, NY",10038-civic-center-ny,99,100,92
"11361, Bayside, NY",11361-bayside-ny,90,69,53
"11372, East Elmhurst, NY",11372-east-elmhurst-ny,95,98,84
"11231, Gowanus, NY",11231-gowanus-ny,96,100,92
"10314, New Springville, NY",10314-new-springville-ny,67,61,51
", Chelsea, NY",#NAME?,97,100,95
"10452, Concourse, NY",10452-concourse-ny,94,100,69
"10037, Harlem, NY",10037-harlem-ny,92,100,78
"10016, Flatiron District, NY",10016-flatiron-district-ny,100,100,91
"10014, Greenwich Village, NY",10014-greenwich-village-ny,98,100,94
"11355, Flushing, NY",11355-flushing-ny,89,82,75
"10011, Greenwich Village, NY",10011-greenwich-village-ny,85,100,84
"11692, Arverne, NY",11692-arverne-ny,78,74,59
"11223, Gravesend, NY",11223-gravesend-ny,92,98,70
", Tribeca, NY",#NAME?,100,100,92
"10022, Murray Hill, NY",10022-murray-hill-ny,99,100,82
"10282, Tribeca, NY",10282-tribeca-ny,99,100,89
"11208, Cypress Hills, NY",11208-cypress-hills-ny,94,97,61
"10307, Tottenville, NY",10307-tottenville-ny,77,59,49
"10304, Tompkinsville, NY",10304-tompkinsville-ny,78,70,33
"10012, NoHo, NY",10012-noho-ny,100,100,93
"11201, Columbia St, NY",11201-columbia-st-ny,91,100,90
"10040, Inwood, NY",10040-inwood-ny,78,88,52
"11236, Canarsie, NY",11236-canarsie-ny,79,78,51
"11377, Maspeth, NY",11377-maspeth-ny,95,100,73
"10303, Mariners Harbor, NY",10303-mariners-harbor-ny,59,55,43
"10036, Chelsea, NY",10036-chelsea-ny,99,100,92
"10025, Harlem, NY",10025-harlem-ny,100,100,88
"10304, Concord, NY",10304-concord-ny,75,74,47
"10467, Allerton, NY",10467-allerton-ny,93,NA,69
"10011, Flatiron District, NY",10011-flatiron-district-ny,100,100,91
"11205, Williamsburg, NY",11205-williamsburg-ny,95,91,95
"11219, Borough Park, NY",11219-borough-park-ny,93,88,62
"10065, Canarsie, NY",10065-canarsie-ny,100,100,84
"10035, Harlem, NY",10035-harlem-ny,11,83,56
"11237, Williamsburg, NY",11237-williamsburg-ny,90,81,83
"11358, Flushing, NY",11358-flushing-ny,88,73,60
", Astoria, NY",#NAME?,96,100,79
"11106, Long Island City, NY",11106-long-island-city-ny,98,100,77
"10001, Hell's Kitchen, NY",10001-hell-s-kitchen-ny,100,100,92
"11201, Downtown Brooklyn, NY",11201-downtown-brooklyn-ny,96,100,90
"10069, Upper West Side, NY",10069-upper-west-side-ny,77,93,79
"10463, Fieldston, NY",10463-fieldston-ny,56,80,49
"10023, Lower East Side, NY",10023-lower-east-side-ny,100,100,87
"11415, Kew Gardens, NY",11415-kew-gardens-ny,95,100,60
"10010, Chelsea, NY",10010-chelsea-ny,98,100,89
"10003, Chelsea, NY",10003-chelsea-ny,100,100,93
"11230, Midwood, NY",11230-midwood-ny,96,90,77
"11356, College Point, NY",11356-college-point-ny,79,57,53
"10452, Mount Eden, NY",10452-mount-eden-ny,97,100,74
"11214, Bensonhurst, NY",11214-bensonhurst-ny,98,82,58
"11432, Briarwood, NY",11432-briarwood-ny,79,100,61
"10038, Financial District, NY",10038-financial-district-ny,99,100,83
"10028, Upper West Side, NY",10028-upper-west-side-ny,100,100,85
", Briarwood, NY",#NAME?,79,100,61
"10464, City Island, NY",10464-city-island-ny,60,NA,47
"11209, Bay Ridge, NY",11209-bay-ridge-ny,99,85,75
"11370, East Elmhurst, NY",11370-east-elmhurst-ny,81,82,83
"10037, East Harlem, NY",10037-east-harlem-ny,92,100,78
", Bedford-Stuyvesant, NY",#NAME?,92,99,77
"11217, Carroll Gardens, NY",11217-carroll-gardens-ny,99,100,93
"11385, Glendale, NY",11385-glendale-ny,93,85,69
", Long Island City, NY",#NAME?,97,100,83
"11370, Ditmars Steinway, NY",11370-ditmars-steinway-ny,81,82,83
"10030, Washington Heights, NY",10030-washington-heights-ny,97,100,70
"11230, Kensington, NY",11230-kensington-ny,96,90,77
"10454, Port Morris, NY",10454-port-morris-ny,85,86,80
"11233, Crown Heights, NY",11233-crown-heights-ny,91,100,65
"11418, Richmond Hill, NY",11418-richmond-hill-ny,89,84,53
"11429, Queens Village, NY",11429-queens-village-ny,79,70,59
"10455, Mott Haven, NY",10455-mott-haven-ny,92,NA,73
"10005, Financial District, NY",10005-financial-district-ny,100,100,82
"10005, Financial District, NY",10005-financial-district-ny,100,100,82
"10013, Greenwich Village, NY",10013-greenwich-village-ny,97,100,90
"10002, East Village, NY",10002-east-village-ny,97,100,94
"10002, East Village, NY",10002-east-village-ny,97,100,94
"11422, Queens Village, NY",11422-queens-village-ny,84,67,65
"10019, Upper West Side, NY",10019-upper-west-side-ny,97,100,84
"11213, Bedford-Stuyvesant, NY",11213-bedford-stuyvesant-ny,94,100,91
"11210, Flatbush, NY",11210-flatbush-ny,95,99,62
"11434, St. Albans, NY",11434-st--albans-ny,76,74,51
", West Village, NY",#NAME?,100,100,95
", Midtown, NY",#NAME?,99,100,79
", Greenpoint, NY",#NAME?,94,69,84
"10014, SoHo, NY",10014-soho-ny,99,100,96
"10467, Williamsbridge, NY",10467-williamsbridge-ny,82,81,69
"10473, Soundview, NY",10473-soundview-ny,77,62,60
"11421, Woodhaven, NY",11421-woodhaven-ny,92,75,44
"10017, Murray Hill, NY",10017-murray-hill-ny,100,100,80
"10475, Co-op City, NY",10475-co-op-city-ny,63,NA,56
"11233, Bushwick, NY",11233-bushwick-ny,91,100,65
"10009, Stuyvesant Town, NY",10009-stuyvesant-town-ny,98,100,96
"11201, Gowanus, NY",11201-gowanus-ny,96,100,87
"10003, Kips Bay, NY",10003-kips-bay-ny,100,100,93
"10460, Parkchester, NY",10460-parkchester-ny,92,87,62
"10026, East Harlem, NY",10026-east-harlem-ny,99,100,84
", Fort Greene, NY",#NAME?,96,100,80
"11232, Borough Park, NY",11232-borough-park-ny,92,98,72
"10471, North Riverdale, NY",10471-north-riverdale-ny,88,69,39
", Clinton Hill, NY",#NAME?,91,100,98
", Crown Heights, NY",#NAME?,96,100,89
"11220, Dyker Heights, NY",11220-dyker-heights-ny,96,98,77
"10462, Bronxdale, NY",10462-bronxdale-ny,95,93,75
", East Village, NY",#NAME?,99,100,99
"10459, Longwood, NY",10459-longwood-ny,95,100,81
"11217, Cobble Hill, NY",11217-cobble-hill-ny,96,100,92
"11220, Borough Park, NY",11220-borough-park-ny,96,98,77
"10005, Battery Park City, NY",10005-battery-park-city-ny,95,100,81
", Richmond Hill, NY",#NAME?,86,91,59
"10065, West Village, NY",10065-west-village-ny,100,100,83
"10012, Lower East Side, NY",10012-lower-east-side-ny,99,100,96
"11224, Sea Gate, NY",11224-sea-gate-ny,46,46,41
"11432, Jamaica, NY",11432-jamaica-ny,87,100,51
"11215, Carroll Gardens, NY",11215-carroll-gardens-ny,96,93,92
"10463, Riverdale, NY",10463-riverdale-ny,95,90,50
", Chinatown, NY",#NAME?,100,100,94
"10013, Civic Center, NY",10013-civic-center-ny,99,100,92
"11417, Ozone Park, NY",11417-ozone-park-ny,87,81,51
"10463, Kingsbridge, NY",10463-kingsbridge-ny,95,90,50
"10031, East Harlem, NY",10031-east-harlem-ny,99,100,80
"11360, Bay Terrace, NY",11360-bay-terrace-ny,77,56,54
"11237, Ridgewood, NY",11237-ridgewood-ny,97,97,91
"11210, Flatlands, NY",11210-flatlands-ny,95,99,62
"10004, Battery Park City, NY",10004-battery-park-city-ny,99,100,86
"10004, Battery Park City, NY",10004-battery-park-city-ny,99,100,86
"10467, Norwood, NY",10467-norwood-ny,95,100,67
"11249, Williamsburg, NY",11249-williamsburg-ny,98,98,95
"11249, Williamsburg, NY",11249-williamsburg-ny,98,98,95
"10305, Concord, NY",10305-concord-ny,75,74,47
"11225, Flatbush, NY",11225-flatbush-ny,94,100,81
", Claremont Village, NY",#NAME?,92,NA,74
"11104, Long Island City, NY",11104-long-island-city-ny,98,100,85
"11109, Long Island City, NY",11109-long-island-city-ny,94,100,81
"11357, Whitestone, NY",11357-whitestone-ny,86,60,45
"10458, Fordham, NY",10458-fordham-ny,98,100,67
"10017, Upper East Side, NY",10017-upper-east-side-ny,100,100,81
"10128, East Harlem, NY",10128-east-harlem-ny,100,100,71
", Sunnyside, NY",#NAME?,100,95,86
"11369, Jackson Heights, NY",11369-jackson-heights-ny,79,74,83
"11212, East Flatbush, NY",11212-east-flatbush-ny,87,100,76
"11211, Bedford-Stuyvesant, NY",11211-bedford-stuyvesant-ny,93,96,66
"11219, Bensonhurst, NY",11219-bensonhurst-ny,93,88,62
"10452, Concourse Village, NY",10452-concourse-village-ny,98,100,74
", Nolita, NY",#NAME?,100,100,92
"11204, Borough Park, NY",11204-borough-park-ny,92,94,55
"11354, Flushing, NY",11354-flushing-ny,93,91,65
"10469, Williamsbridge, NY",10469-williamsbridge-ny,91,80,59
"10471, Fieldston, NY",10471-fieldston-ny,56,80,49
", Hell's Kitchen, NY",#NAME?,100,100,92
", Sunset Park, NY",#NAME?,98,96,76
"10035, Upper East Side, NY",10035-upper-east-side-ny,11,83,56
"10013, Nolita, NY",10013-nolita-ny,100,100,92
"11233, Cypress Hills, NY",11233-cypress-hills-ny,91,100,65
"10451, Mott Haven, NY",10451-mott-haven-ny,96,100,61
", Washington Heights, NY",#NAME?,99,100,82
"11212, Brownsville, NY",11212-brownsville-ny,87,100,76
"10312, Eltingville, NY",10312-eltingville-ny,64,65,50
", East Flatbush, NY",#NAME?,87,68,63
"11213, Brownsville, NY",11213-brownsville-ny,94,100,91
"11211, Bushwick, NY",11211-bushwick-ny,99,100,91
"11432, Jamaica Estates, NY",11432-jamaica-estates-ny,87,100,51
"11205, Navy Yard, NY",11205-navy-yard-ny,47,74,89
"11233, Brownsville, NY",11233-brownsville-ny,91,100,65
"10453, Mount Hope, NY",10453-mount-hope-ny,92,NA,71
"11369, East Elmhurst, NY",11369-east-elmhurst-ny,79,74,78
", Theater District, NY",#NAME?,97,100,92
"10473, Clason Point, NY",10473-clason-point-ny,73,NA,75
"10301, Stapleton, NY",10301-stapleton-ny,88,70,67
"10019, Roosevelt Island, NY",10019-roosevelt-island-ny,81,100,76
"10306, Lighthouse Hill, NY",10306-lighthouse-hill-ny,18,45,11
"10456, Concourse Village, NY",10456-concourse-village-ny,90,NA,77
", Civic Center, NY",#NAME?,99,100,92
